agent_A,agent_B,winner,reward_A,reward_B
Always3,Deterministic_simpletron_optimist_TfT,Always3,3.0,2.0
Always3,Permisive_TFT_patience_3,Always3,2.97,1.98
Always3,Permisive_TFT_patience_3,Always3,2.97,1.98
Always3,Permisive_TFT_patience_3,Always3,2.97,1.98
Always3,Permisive_TFT_patience_3,Always3,2.97,1.98
Always3,Permisive_TFT_patience_5,Always3,2.97,1.98
Always3,Permisive_TFT_patience_5,Always3,2.97,1.98
Always3,Permisive_TFT_patience_5,Always3,2.97,1.98
Always3,Permisive_TFT_patience_5,Always3,2.97,1.98
Always3,Permisive_TFT_patience_10,Always3,2.97,1.98
Always3,Permisive_TFT_patience_10,Always3,2.97,1.98
Always3,Permisive_TFT_patience_10,Always3,2.97,1.98
Always3,Permisive_TFT_patience_10,Always3,2.97,1.98
Always3,GrimTrigger,Always3,3.0,2.0
Always3,GrimTrigger,Always3,3.0,2.0
Always3,GrimTrigger,Always3,3.0,2.0
Always3,GrimTrigger,Always3,3.0,2.0
Always3,GenerousTitForTat_generous_p_0.1,Always3,3.0,2.0
Always3,GenerousTitForTat_generous_p_0.1,Always3,3.0,2.0
Always3,GenerousTitForTat_generous_p_0.1,Always3,3.0,2.0
Always3,GenerousTitForTat_generous_p_0.1,Always3,3.0,2.0
Always3,GenerousTitForTat_generous_p_0.25,Always3,3.0,2.0
Always3,GenerousTitForTat_generous_p_0.25,Always3,3.0,2.0
Always3,GenerousTitForTat_generous_p_0.25,Always3,3.0,2.0
Always3,GenerousTitForTat_generous_p_0.25,Always3,3.0,2.0
