AdaptivePavlov_deterministic,AdaptivePavlov_random,Always0,Always3,CastigadorInfernal,ContriteTitForTat,Detective,Deterministic_simpletron_optimist_TfT,Deterministic_simpletron_optimist_notTfT,Deterministic_simpletron_pesimist_notTfT,Focal5,GenerousTitForTat_generous_p_0.1,GenerousTitForTat_generous_p_0.25,GenerousTitForTat_generous_p_0.5,GenerousTitForTat_generous_p_0.75,GrimTrigger,Permisive_TFT_patience_10,Permisive_TFT_patience_3,Permisive_TFT_patience_5,TitForTat,UniformRandom
0.046511627906976744,0.0562015503875969,0.06201550387596899,0.0,0.0,0.06395348837209303,0.12403100775193798,0.040697674418604654,0.031007751937984496,0.003875968992248062,0.0,0.044573643410852716,0.06395348837209303,0.06201550387596899,0.06782945736434108,0.031007751937984496,0.046511627906976744,0.04844961240310078,0.044573643410852716,0.03875968992248062,0.12403100775193798
0.06076388888888889,0.041666666666666664,0.05555555555555555,0.0,0.0,0.06597222222222222,0.109375,0.03993055555555555,0.05555555555555555,0.005208333333333333,0.0,0.05381944444444445,0.07118055555555555,0.07291666666666667,0.078125,0.027777777777777776,0.03819444444444445,0.043402777777777776,0.03819444444444445,0.03125,0.1111111111111111
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05190592051905921,0.05190592051905921,0.025952960259529603,0.019464720194647202,0.058394160583941604,0.05190592051905921,0.05190592051905921,0.05190592051905921,0.050283860502838604,0.025952960259529603,0.07137064071370641,0.05190592051905921,0.05190592051905921,0.05190592051905921,0.05190592051905921,0.021897810218978103,0.05190592051905921,0.05190592051905921,0.05190592051905921,0.05190592051905921,0.05190592051905921
0.06260869565217392,0.06260869565217392,0.02782608695652174,0.0,0.028695652173913042,0.06260869565217392,0.06260869565217392,0.05304347826086957,0.035652173913043476,0.01652173913043478,0.02,0.06260869565217392,0.06260869565217392,0.06260869565217392,0.06260869565217392,0.01391304347826087,0.06260869565217392,0.06260869565217392,0.06260869565217392,0.05304347826086957,0.06260869565217392
0.060546875,0.05078125,0.0625,0.0,0.0,0.046875,0.125,0.03125,0.0546875,0.0,0.0,0.05078125,0.064453125,0.068359375,0.072265625,0.03125,0.0390625,0.041015625,0.041015625,0.03515625,0.125
0.0,0.004807692307692308,0.15384615384615385,0.0,0.0,0.0,0.11538461538461539,0.10096153846153846,0.0,0.03365384615384615,0.0,0.0,0.009615384615384616,0.014423076923076924,0.0625,0.0,0.02403846153846154,0.03365384615384615,0.04326923076923077,0.09615384615384616,0.3076923076923077
0.06342182890855458,0.06047197640117994,0.0471976401179941,0.0,0.016224188790560472,0.07079646017699115,0.06342182890855458,0.035398230088495575,0.048672566371681415,0.017699115044247787,0.019174041297935103,0.06932153392330384,0.06784660766961652,0.06932153392330384,0.06932153392330384,0.0,0.045722713864306784,0.04277286135693215,0.0471976401179941,0.07669616519174041,0.06932153392330384
0.061381074168797956,0.04092071611253197,0.04092071611253197,0.0025575447570332483,0.03964194373401535,0.04603580562659847,0.08184143222506395,0.03964194373401535,0.030690537084398978,0.03964194373401535,0.05370843989769821,0.04603580562659847,0.04603580562659847,0.056265984654731455,0.05115089514066496,0.0038363171355498722,0.061381074168797956,0.06649616368286446,0.056265984654731455,0.05370843989769821,0.08184143222506395
0.05688073394495413,0.05596330275229358,0.029357798165137616,0.029357798165137616,0.04862385321100918,0.05871559633027523,0.05229357798165138,0.047706422018348627,0.030275229357798167,0.022018348623853212,0.045871559633027525,0.05504587155963303,0.05779816513761468,0.05871559633027523,0.05779816513761468,0.030275229357798167,0.05504587155963303,0.05779816513761468,0.05779816513761468,0.047706422018348627,0.044954128440366975
0.06077348066298342,0.06077348066298342,0.022099447513812154,0.0,0.0531767955801105,0.06077348066298342,0.06077348066298342,0.05179558011049724,0.031767955801104975,0.026243093922651933,0.03798342541436464,0.05870165745856354,0.06077348066298342,0.06077348066298342,0.06077348066298342,0.011049723756906077,0.06077348066298342,0.06077348066298342,0.06077348066298342,0.04765193370165746,0.05179558011049724
